date,tvl_base,staking,liquidstaking,borrowed,total
2018-02-12,6685317,0,0,0,6685317
2018-02-13,6685317,0,0,0,6685317
2018-02-14,6685317,0,0,0,6685317
2018-02-15,7335070,0,0,0,7335070
2018-02-16,11799306,0,0,0,11799306
2018-02-17,11799306,0,0,0,11799306
2018-02-18,11799306,0,0,0,11799306
2018-02-19,11799306,0,0,0,11799306
2018-02-20,11799306,0,0,0,11799306
2018-02-21,11620897,0,0,0,11620897
2018-02-22,9686994,0,0,0,9686994
2018-02-23,11924788,0,0,0,11924788
2018-02-24,11924788,0,0,0,11924788
2018-02-25,11924788,0,0,0,11924788
2018-02-26,11293138,0,0,0,11293138
2018-02-27,11293138,0,0,0,11293138
2018-02-28,18351636,0,0,0,18351636
2018-03-01,18351636,0,0,0,18351636
2018-03-02,18351636,0,0,0,18351636
2018-03-03,18351636,0,0,0,18351636
2018-03-04,18351636,0,0,0,18351636
2018-03-05,18351636,0,0,0,18351636
2018-03-06,15284730,0,0,0,15284730
2018-03-07,15284730,0,0,0,15284730
2018-03-08,14201508,0,0,0,14201508
2018-03-09,14201508,0,0,0,14201508
2018-03-10,14201508,0,0,0,14201508
2018-03-11,14201508,0,0,0,14201508
2018-03-12,14201508,0,0,0,14201508
2018-03-13,14201508,0,0,0,14201508
2018-03-14,14529180,0,0,0,14529180
2018-03-15,10883302,0,0,0,10883302
2018-03-16,10883302,0,0,0,10883302
2018-03-17,10883302,0,0,0,10883302
2018-03-18,10883302,0,0,0,10883302
2018-03-19,10883302,0,0,0,10883302
2018-03-20,10883302,0,0,0,10883302
2018-03-21,10883302,0,0,0,10883302
2018-03-22,10883302,0,0,0,10883302
2018-03-23,10883302,0,0,0,10883302
2018-03-24,10883302,0,0,0,10883302
2018-03-25,10883302,0,0,0,10883302
2018-03-26,10883302,0,0,0,10883302
2018-03-27,10883302,0,0,0,10883302
2018-03-28,10883302,0,0,0,10883302
2018-03-29,10975192,0,0,0,10975192
2018-03-30,8872233,0,0,0,8872233
2018-03-31,8872233,0,0,0,8872233
2018-04-01,8872233,0,0,0,8872233
2018-04-02,8872233,0,0,0,8872233
2018-04-03,8709109,0,0,0,8709109
2018-04-04,8709109,0,0,0,8709109
2018-04-05,8709109,0,0,0,8709109
2018-04-06,8994812,0,0,0,8994812
2018-04-07,11513795,0,0,0,11513795
2018-04-08,11513795,0,0,0,11513795
2018-04-09,11513795,0,0,0,11513795
2018-04-10,11513795,0,0,0,11513795
2018-04-11,11513795,0,0,0,11513795
2018-04-12,11513795,0,0,0,11513795
2018-04-13,11513795,0,0,0,11513795
2018-04-14,11599561,0,0,0,11599561
2018-04-15,11860237,0,0,0,11860237
2018-04-16,16745423,0,0,0,16745423
2018-04-17,16745423,0,0,0,16745423
2018-04-18,16745423,0,0,0,16745423
2018-04-19,16745423,0,0,0,16745423
2018-04-20,19173183,0,0,0,19173183
2018-04-21,19173183,0,0,0,19173183
2018-04-22,19557950,0,0,0,19557950
2018-04-23,21963401,0,0,0,21963401
2018-04-24,21963401,0,0,0,21963401
2018-04-25,21963401,0,0,0,21963401
2018-04-26,21963401,0,0,0,21963401
2018-04-27,22367479,0,0,0,22367479
2018-04-28,28948697,0,0,0,28948697
2018-04-29,28977326,0,0,0,28977326
2018-04-30,28969763,0,0,0,28969763
2018-05-01,28984307,0,0,0,28984307
2018-05-02,28977941,0,0,0,28977941
2018-05-03,35203792,0,0,0,35203792
2018-05-04,29514151,0,0,0,29514151
2018-05-05,29565821,0,0,0,29565821
2018-05-06,29590838,0,0,0,29590838
2018-05-07,29584982,0,0,0,29584982
2018-05-08,23996888,0,0,0,23996888
2018-05-09,24006329,0,0,0,24006329
2018-05-10,29220087,0,0,0,29220087
2018-05-11,29200576,0,0,0,29200576
2018-05-12,29180118,0,0,0,29180118
2018-05-13,29161024,0,0,0,29161024
2018-05-14,29172651,0,0,0,29172651
2018-05-15,29192404,0,0,0,29192404
2018-05-16,27637293,0,0,0,27637293
2018-05-17,27621514,0,0,0,27621514
2018-05-18,26702764,0,0,0,26702764
2018-05-19,30301579,0,0,0,30301579
